tipo,nombreOriginal,clasificacion,numCandidatos,md5sDistintos,rowIds,ruc,monto,numeroSerie,numero,fechaEmision,candidatoSizes,candidatoCreatedTimes
xml,20101363008-01-F572-00008721.xml,IDENTICAL_CONTENT,2,1,2698,,,,,,108180|108180,2024-08-15T19:22:47.230Z|2024-08-15T19:22:46.634Z
pedido,202407660.pdf,IDENTICAL_CONTENT,2,1,2731,,,,,,130679|130679,2024-08-17T19:24:47.517Z|2024-08-17T19:24:17.978Z
factura,20101363008-01-F512-00000614.pdf,IDENTICAL_CONTENT,2,1,2745|2746,,,,,,94382|94382,2024-08-19T21:14:07.993Z|2024-08-19T21:13:38.377Z
xml,20101363008-01-F512-00000614.xml,IDENTICAL_CONTENT,2,1,2745|2746,,,,,,16235|16235,2024-08-19T21:14:10.004Z|2024-08-19T21:13:40.229Z
guia,202408091.pdf,IDENTICAL_CONTENT,2,1,2745|2746,,,,,,1755238|1755238,2024-08-19T21:14:12.660Z|2024-08-19T21:13:42.726Z
pedido,202408091.pdf,IDENTICAL_CONTENT,2,1,2745|2746,,,,,,1755238|1755238,2024-08-19T21:14:15.201Z|2024-08-19T21:13:45.245Z
guia,CONFORMIDAD-CONTROL.pdf,DIFFERENT_CONTENT,3,2,2749|2750,20101363008,1629.73,F452,00001879,30/07/2024,256935|256935|257789,2024-08-19T21:24:56.077Z|2024-08-19T21:24:25.639Z|2024-08-19T21:23:52.282Z
guia,CONFORMIDAD-CONTROL.pdf,DIFFERENT_CONTENT,3,2,2749|2750,20101363008,821.77,F452,00001882,30/07/2024,256935|256935|257789,2024-08-19T21:24:56.077Z|2024-08-19T21:24:25.639Z|2024-08-19T21:23:52.282Z
pedido,2024-07910.pdf,IDENTICAL_CONTENT,3,1,2920,,,,,,233148|233148|233148,2024-12-20T22:20:16.482Z|2024-09-02T19:48:07.163Z|2024-09-02T19:45:15.317Z
pedido,OC_202408888.pdf,IDENTICAL_CONTENT,3,1,3012|3013|3015,,,,,,277504|277504|277504,2024-09-10T22:02:32.908Z|2024-09-10T22:01:50.946Z|2024-09-10T22:01:00.082Z
factura,20101363008-01-F572-00008772.pdf,IDENTICAL_CONTENT,2,1,3034,,,,,,97318|97318,2024-09-06T21:11:17.365Z|2024-09-06T21:10:54.683Z
xml,20101363008-01-F572-00008772.xml,IDENTICAL_CONTENT,2,1,3034,,,,,,32041|32041,2024-09-06T21:11:19.595Z|2024-09-06T21:10:56.872Z
guia,20101363008-2024-08-03 03_22_05.615-4.pdf,IDENTICAL_CONTENT,2,1,3034,,,,,,376144|376144,2024-09-06T21:11:21.860Z|2024-09-06T21:10:59.143Z
pedido,2024-07700.pdf,IDENTICAL_CONTENT,2,1,3034,,,,,,327482|327482,2024-09-06T21:11:24.076Z|2024-09-06T21:11:01.528Z
